Fiery Dance,,,8,EOT,2,"4, 1 Target","If Fiery Dance successfully hits a foe, it raises the user's Special Attack by 1 Combat Stage on Even-Numbered Rolls.",Cool - Desperation,Special,Fire,o,,,,,,,,,
Fire Blast,,,11,Scene x2,4,"6, 1 Target, Smite",Fire Blast burns the target on 19+.,Beauty - Exhausting Act,Special,Fire,o,,,,,,,,,
Fire Fang,,,7,At-Will,3,"Melee, 1 Target","Fire Fang Burns or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe becomes Burned or Flinched. On 20 during Accuracy Check, the foe is both Burned and Flinched.",Beauty - Steady Performance,Physical,Fire,o,o,,,,,,,o,
Fire Lash,,,8,EOT,2,"2, 1 Target",The target's Defense is lowered by -1 CS.,--,Physical,Fire,,,,,,,,,,
Fire Pledge,,,8,Scene,2,"6, 1 Target, Pledge","If an ally uses Grass Pledge or Water Pledge, you may use Fire Pledge as Priority (Advanced) immediately after their turn to target the same foe. If used in conjunction with Grass Pledge, Fire Hazards are created in a Brust 1 around the target. If used in conjucntion with Water Pledge, a Rainbow is created that lasts for 5 rouns. Counsult the Pledge keyword for additional details.",Beauty - Safe Option,Special,Fire,,,,,,,,,,
Fire Punch,,,8,At-Will,2,"Melee, 1 Target",Fire Punch Burns the target on 19+.,Beauty - Exhausting Act,Physical,Fire,o,o,,,o,,,,,
Fire Spin,,,4,Scene x2,4,"3, 1 Target",The target is put in a Vortex. *Grants: Firestarter,Beauty - Safe Option,Special,Fire,,,o,,,,,,,
Flame Burst,,,7,At-Will,2,"6, 1 Target",Any Trainers or Pokémon cardinally adjacent to the target lose 5 Hit Points,Beauty - Exhausting Act,Special,Fire,,,,,,,,,,
Flame Charge,,,5,At-Will,2,"Melee, 1 Target, Dash",Raise the user’s Speed 1 Combat Stage.,Tough - Excitement,Physical,Fire,,o,o,,,,,,,
Flame Wheel,,,6,At-Will,2,"Melee, 1 Target, Dash",Flame Wheel Burns the target on 19+.,Beauty - Reliable,Physical,Fire,o,o,o,,,,,,,
Flamethrower,,,9,EOT,2,"4, 1 Target",Flamethrower Burns the target on 19+.,Beauty - Exhausting Act,Special,Fire,o,,,,,,,,,
Flare Blitz,,,12,Scene x2,2,"Melee, 1 Target, Dash, Recoil 1/3",Flare Blitz Burns the target on 19+.,Smart - Seen Nothing Yet,Physical,Fire,o,o,,o,,,,,,o
Fusion Flare,,,10,Scene x2,2,"8, 1 Target, Smite","If Fusion Bolt was used this round or last round by any participant of the encounter, Fusion Flare has its Damage Base increased by +3.",Beauty - Seen Nothing Yet,Special,Fire,,,,,,,,,,
Heat Crash,,,4,EOT,2,"Melee, 1 Target, Dash","For each weight class the user is above the target, increase Heavy Crash's damage base by +2.",Tough - Incentives,Physical,Fire,,o,o,,,,,,,
Heat Wave,,,10,Scene x2,4,"Close Blast 3, Smite",Heat Wave Burns all Legal Targets on 18+.,Beauty - Exhausting Act,Special,Fire,o,,,,,,,,,
Incinerate,,,6,At-Will,2,Line 3,"If a target is holding a Held Item or Main or Off-Hand item, they must either drop it immediately or lose a Tick of Hit Points. This may only cause a target to lose at most one Tick of Hit Points, no matter how many items they were holding",Beauty - Steady Performance,Special,Fire,,,o,,,,,,,
Inferno,,,10,At-Will,9,"6, 1 Target",Inferno Burns the target. Inferno ignores the target's Evasion if there are no other combatants or Rough or Blocking Terrain within 2 meters of the target.,Beauty - Steady Performance,Special,Fire,,,,,,,,,,
Lava Plume,,,8,EOT,2,Burst 1,Lava Plume burns all targets on 16+.,Tough - Exhausting Act,Special,Fire,o,,,,,,,,,
Magma Storm,,,10,Scene,6,"6, 1 Target",The target is put in a Vortex; this effect occurs even if Magma Storm misses its target.,Tough - Reliable,Special,Fire,,,,,,,,,,
Mind Blown,,,15,Daily,2,"6, Ranged Blast 3, Smite",The user's Hit Points are reduced by 50% of their full Hit Point Value. This hit point loss cannot be prevented or reduced in any way.,Tough - Reliable,Special,Fire,,,,,,,,,,
Mystical Fire,,,7,EOT,2,"6, 1 Target",Mystical Fire lowers the target’s Special Attack by 1 Combat Stage.,Beauty - Special Attention,Special,Fire,,,,,,,,,,
Overheat,,,13,Scene,4,"8, Ranged Blast 3, Smite",Lower the user's Special Attack 2 Combat Stages after damage.,Beauty - Seen Nothing Yet,Special,Fire,,,,,,,,,,o
Pyro Ball,,,12,Scene x2,4,"6, 1 Target, Smite",The target is Burned on 19+.,Cool - Attention Grabber,Physical,Fire,o,,,,,,,,,
Raging Fury,,,9,Scene x2,2,"Burst 1, Spirit Surge",The user becomes Enraged. Legal targets become Enraged on a 16+.,Tough - Exhausting Act,Special,Fire,o,,,,,,,,,
Sacred Fire,,,10,EOT,3,"6, 1 Target",Sacred Fire Burns the target on Even-Numbered Rolls.,Beauty - Seen Nothing Yet,Physical,Fire,o,,,,,,,,,
Searing Shot,,,10,EOT,2,Burst 1,Searing Shot Burns all targets on 15+.,Beauty - Exhausting Act,Special,Fire,o,,,,,,,,,
Shell Trap,,,15,Scene,2,"Melee, 1 Target, Interrupt, Trigger","If the user is hit by a Melee attack, they may use Shell Trap as an Interrupt.",--,Special,Fire,,o,,,,,,,,
Sunny Day,,,--,Daily x2,--,"Field, Weather","The weather becomes Sunny for 5 rounds. While Sunny, Fire-Type Attacks gain a +5 bonus to Damage Rolls, and Water-Type Attacks suffer a -5 Damage penalty.",Beauty - Sabotage,Status,Fire,,,,,,,,,,
V-Create,,,18,Daily,5,"Melee, 1 Target, Smite","Lowers the user's Defense, Special Defense, and Speed by -1 CS each.", Beauty - Seen Nothing Yet,Physical,Fire,,o,,,,,,,,o
Will-O-Wisp,,,--,EOT,5,"6, 1 Target",The target is Burned.,Beauty - Exhausting Act,Status,Fire,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Acrobatics,,,6,EOT,2,"Melee, Dash, 1 Target","If the user is not holding an item, Acrobatics instead has a Damage Base of 11 (3d10+10/27)",Smart - Incentives,Physical,Flying,,o,o,,,,,,,
Aerial Ace,,,6,EOT,--,"Melee, 1 Target",Aerial Ace cannot miss.,Cool - Exhausting Act,Physical,Flying,,o,o,,,,,,,
Aeroblast,,,10,Daily,3,Line 6,Aeroblast is a Critical Hit on an Even-Numbered Roll.,Cool - Seen Nothing Yet,Special,Flying,,,,,,,,,,
Air Cutter,,,6,At-Will,2,Cone 2,Air Cutter is a Critical Hit on 18+.,Cool - Steady Performance,Special,Flying,,,o,,,,,,,
Air Slash,,,8,EOT,3,"6, 1 Target",Air Slash Flinches the target on 15+.,Cool - Exhausting Act,Special,Flying,o,,,,,,,,,
Beak Blast,,,10,Scene x2,2,"6, 1 Target, Priority","Beak Blast must be declared at the start of the round. If the user is hit by a Melee attack this round, the triggering attacker is Burned. At the end of the round, the user Shifts and attacks with Beak Blast.",--,Physical,Flying,,,,,,,,,,
Bleakwind Storm,,,10,Scene,5,"6, Ranged Blast 3, Smite",The target is Flinched on a 15+ and Frozen on a 19+.,Cool - Unsettling,Special,Flying,o,,,,,,,,,
Bounce,,,9,Scene x2,4,"Melee, 1 Target, Dash, Full Action","The user first Shifts, gaining a +1 Bonus to Movement Speed and to their Jump Capabilities. After the user Shifts, they may attack with Bounce. The target becomes Vulnerable, and is Paralyzed on 16+. Grants High Jump +1",Cute -  Special Attention,Physical,Flying,o,o,,,,,,,,
Brave Bird,,,12,Scene x2,2,"Melee, 1 Target, Dash, Push, Recoil 1/3",The target is pushed back 2 meters.,Cute - Desperation,Physical,Flying,,o,,o,,,,,,o
Chatter,,,7,At-Will,2,"4, 1 Target, Sonic",Chatter confuses all targets on 16+.,Smart -  Catching Up,Special,Flying,o,,,,,,,o,,
Defog,,,--,Daily x2,--,"Field, Weather","The Weather becomes Clear, and all Blessings, Coats, and Hazards are destroyed. Clear Weather is the default weather, conferring no bonuses or penalties of any sort.",Beauty - Sabotage,Status,Flying,,,,,,,,,,
Dragon Ascent,,,12,Scene x2,2,"Melee, 1 Target, Dash",The user’s Defense and Special Defense are each lowered by -1 Combat Stage.,Beauty - Seen Nothing Yet,Physical,Flying,,o,,,,,,,,
Drill Peck,,,8,At-Will,2,"Melee, 1 Target, Dash",--,Cool - Steady Performance,Physical,Flying,,o,,,,,,,,
Dual Wingbeat,,,4,EOT,2,"Melee, 1 Target, Double Strike",--,Cool - Reliable,Physical,Flying,,o,o,,,,,,,
Feather Dance,,,--,EOT,2,"Burst 1, Friendly",All legal targets have their Attack lowered 2 Combat Stages.,Beauty - Excitement,Status,Flying,,,,,,,,,,
Fly,,,8,At-Will,3,"Melee, Dash, Set-Up","Set-Up Effect: The user is moved up 25 meters into the air. Resolution Effect: The user may shift twice while in the air, using their overland or sky speed, and then comes down next to a legal target, and attacks with Fly. *Grants: Sky +3",Smart -  Special Attention,Physical,Flying,,o,,,,,,,,
Gust,,,4,At-Will,2,"4, 1 Target","If the target is airborne as a result of Bounce, Fly, or Sky Drop, Gust can hit them, ignoring Range and has a Damage Base of 8 instead. *Grants: Guster",Smart - Steady Performance,Special,Flying,,,o,,,,,,,
Hurricane,,,11,Scene x2,7,"Burst 1, Smite","Hurricane Confuses its target on 15+. If the target is in Sunny Weather, Hurricane's Accuracy Check is 11. If the target is in Rainy Weather, Hurricane cannot miss. If the target is airborne as a result of Bounce, Fly, or Sky Drop, Hurricane cannot miss.",Cool - Exhausting Act,Special,Flying,o,,,,,,,,,
Mirror Move,,,See Effect,Scene x2,--,"6, 1 Target, Illusion",Use the Move the target has used on their last turn. You may choose new targets for the Move. Mirror Move cannot miss.,Smart - Double TIme,Status,Flying,,,,,,,,,,
Oblivion Wing,,,8,Daily,2,"Melee, 1 Target",The user gains HP equal to Oblivion Wing’s Damage Roll.,Cool - Catching Up,Special,Flying,,o,,,,,,,,
Peck,,,4,At-Will,2,"Melee, 1 Target",--,Cool - Steady Performance,Physical,Flying,,o,o,,,,,,,
Pluck,,,6,At-Will,2,"Melee, 1 Target","Pluck takes the target's Held Item or Accessory Slot Item and attaches it to Pluck's user, if the user is not holding anything.",Cute - Attention Grabber,Physical,Flying,,o,o,,,,,,,
Roost,,,--,Daily x2,--,Self,"The user regains HP equal to half of its full HP. If the user is a Flying Type, it loses the Flying Type until the start of their next turn.",Cool - Safe Option,Status,Flying,,,,,,,,,,
Sky Attack,,,14,Scene x2,4,"Melee, Pass, Set-Up, Full Action",Set-Up Effect: The user is moved up 25 meters into the air. Resolution Effect: The user may shift until they are next to a legal target in the encounter. They may then shift again and pass through legal targets to attack with Sky Attack. Sky Attack Flinches a target on 17+.,Cool -  Special Attention,Physical,Flying,o,o,,,,,,,,
Sky Drop,,,6,Scene x2,3,"Melee, 1 Target, Set-Up","Set-Up Effect: Make Sky Drop's Accuracy Check. If the user hits, the user and target are moved 25 meters into the air. The target forfeits their next turn and cannot Shift or take actions until Sky Drop is resolved. Resolution Effect: Shift while in the air and lower both the user and the target heights back to the ground. Then apply Sky Drop's damage. If the target has a Sky or Levitate Speed, Sky Drop fails to deal damage. If the user is Fainted after the Set-Up but before the Resolution, the target falls to the ground and takes damage as if Sky Drop had a Damage Base of 3 (1d6+5/8) unless they have a Sky or Levitate Speed, in which case they take no damage.",Smart -  Special Attention,Physical,Flying,,o,o,,,,,,,
Tailwind,,,--,Scene,--,Blessing,"For the remainder of the encounter, all allied trainers and Pokémon gain +5 to their Initiative. Multiple instances of Tailwind cannot stack. *Grants: Guster",Smart - Saving Grace,Status,Flying,,,,,,,,,,
Wing Attack,,,6,At-Will,2,"Melee, 1 Target",--,Cool - Steady Performance,Physical,Flying,,o,o,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Astonish,,,3,At-Will,2,"Melee, 1 Target","Astonish Flinches the target on 15+. Once per Scene, if the target is unaware of the user's presence, Astonish automatically Flinches.",Smart - Steady Performance,Physical,Ghost,o,o,o,,,,,,,
Astral Barrage,,,12,Daily,2,"8, Ranged Blast 2, Smite Friendly",Legal targets hit by Astral Barrage are Slowed for one full round. ,Smart - Unsettling,Special,Ghost,,,,,,,,,,
Bitter Malice,,,6,At-Will,2,"6, 1 Target",": Legal targets hit by Bitter Malice are Stuck and Trapped until the end of their next turn on a 19+. 

Once a Scene, if Bitter Malice’s target has a Status Condition, you may have Bitter Malice’s Damage Base be 12 instead (3d12+10 / 30).",Smart - Unsettling,Special,Ghost,o,,o,,,,,,,
Confuse Ray,,,--,Scene x2,2,"6, 1 Target",The target is Confused.,Smart - Unsettling,Status,Ghost,,,,,,,,,,
Curse,,,--,See Text,--,Self,"If the user is not a Ghost Type, Curse has a Frequency of EOT, and when used the user lowers its Speed by -1 Combat Stage, but raises Attack and Defense by +1 Combat Stage each. If the user is a Ghost Type, Curse has a Frequency of Scene, and when used the user loses 1/3 of their Max Hit Points and a target Pokémon or Trainer within 8 meters of the user becomes Cursed. This Hit Point loss cannot be prevented in any way.",Tough - Safe Option,Status,Ghost,,,,,,,,,,
Destiny Bond,,,--,EOT,--,"Burst 10, Friendly","All enemy targets in the burst become Bound to the user until the end of your next turn. If a Bound target causes the user to Faint through a Damaging Attack, the Bound target immediately faints after their attack is resolved.",Smart - Big Show,Status,Ghost,,,,,,,,,,
Grudge,,,--,Daily,--,"6, 1 Target, Interrupt","You may use Grudge as an Interrupt when a Damaging Attack causes the user to faint. Grudge is activated as a Free Action (does not take up a Command.) The attack is resolved as usual, and the user Faints. The attacker that caused the user to Faint becomes Suppressed for the remainder of the encounter; switching and Taking a Breather does not end Suppression when used this way.",Tough - Unsettling,Status,Ghost,,,,,,,,,,
Hex,,,7,EOT,2,"6, 1 Target","Once a Scene, if Hex's target has a Status Affliction, you may have Hex's Damage Base be 13 instead (4d10+10 / 35)",Smart - Incentives,Special,Ghost,,,,,,,,,,
Infernal Parade,,,6,EOT,2,"8, Ranged Blast 2","Legal targets hit by Infernal Parade are Burned on a 17+. 

Once a Scene, if at least one of Infernal Parade’s targets has a Status Condition, you may have Infernal Parade’s Damage Base be 12 instead (3d12+10 / 30).",Beauty - Sabotage,Special,Ghost,o,,o,,,,,,,
Lick,,,3,At-Will,2,"Melee, 1 Target",Lick Paralyzes the target on 15+.,Tough - Inversed Appeal,Physical,Ghost,o,o,o,,,,,,,
Moongeist Beam,,,10,Scene x2,2,Line 6,"This Move ignores any Abilities that would cause it to fail or miss; those Abilities cannot be activated in response to Moongeist Beam (ex: Dodge, Wonder Guard)",--,Special,Ghost,,,,,,,,,,
Night Shade,,,--,Scene x2,2,"8, 1 Target",The target loses HP equal to the level of Night Shade's user. Do not apply weakness or resistance. Do not apply stats.,Smart - Steady Performance,Special,Ghost,,,,,,,,,,
Nightmare,,,--,Scene x2,2,"Melee, 1 Target",Nightmare can only hit Legal Targets that are Asleep. The target gains Bad Sleep.,Smart - Excitement,Status,Ghost,,o,,,,,,,,
Ominous Wind,,,6,EOT,2,"6, 1 Target, Spirit Surge",The user has each of its stats raised by +1 CS on a 19+.,Smart - Get Ready!,Special,Ghost,o,,o,,,,,,,
Phantom Force,,,9,Scene x2,2,"Melee, 1 Target, Set-Up","Set-Up Effect: The user is removed from the field, and their turn ends. Resolution Effect: Phantom Force’s user appears adjacent to any legal target on the field, ignoring Movement Capabilities, and then uses Phantom Force’s attack. Phantom Force cannot be avoided by Moves with the Shield Keyword, the Dodge Ability, or similar effects, and Intercepts may not be attempted in response.",Smart - Seen Nothing Yet,Physical,Ghost,,o,,,,,,,,
Poltergeist,,,11,Scene,4,"8, Ranged Blast 3, Smite","If a target is holding a Held Item or Main or OffHand item, they must either drop it immediately or lose a Tick of Hit Points. This may only cause a target to lose at most one Tick of Hit Points, no matter how many items they were holding. On each of the target’s subsequent turns, if it is still holding the item(s) in question it loses a Tick of Hit Points. ",Smart - Unsettling,Physical,Ghost,,,,,,,,,,
Shadow Ball,,,8,EOT,2,"8, 1 Target",Shadow Ball lowers the target's Special Defense by -1 CS on 17+.,Smart - Exhausting Act,Special,Ghost,o,,,,,,,,,
Shadow Bone,,,9,EOT,2,"Melee, 1 Target","Lower the target's Defense by -1 CS on a 17+. Counts as a Bone Move for Cubone/Marowak’s Abilities, etc.",--,Physical,Ghost,o,o,,,,,,,,
Shadow Claw,,,7,EOT,2,"Melee, Pass",Shadow Claw is a Critical Hit on 18+.,Cute - Exhausting Act,Physical,Ghost,,o,,,,,,,,
Shadow Force,,,12,Daily x3,2,"Melee, 1 Target, Set-Up","Set-Up Effect: The user is removed from the field, and their turn ends. Resolution Effect: Shadow Force’s user appears adjacent to any legal target on the field, ignoring Movement Capabilities, and then uses Shadow Force’s attack. Shadow Force cannot be avoided by Moves with the Shield Keyword, the Dodge Ability, or similar effects, and Intercepts may not be attempted in response.",Smart - Seen Nothing Yet,Physical,Ghost,,o,,,,,,,,
Shadow Punch,,,6,EOT,--,"6, 1 Target",Shadow Punch cannot miss.,Smart - Exhausting Act,Physical,Ghost,,,o,,o,,,,,
Shadow Sneak,,,4,At-Will,2,"Melee, 1 Target, Priority",--,Smart - Saving Grace,Physical,Ghost,,o,o,,,,,,,
Spectral Thief,,,9,Scene,2,"Melee, 1 Target","Before rolling damage, transfer all Combat Stages on the target to the user.",--,Physical,Ghost,,o,,,,,,,,
Spirit Shackle,,,8,EOT,2,"8, 1 Target",The Target is Trapped for 2 rounds.,--,Physical,Ghost,,,,,,,,,,
Spite,,,--,Scene,--,"1 Target, Trigger",Spite may be used as a Free Action that does not take up a Command whenever the user is hit by a Move. That Move becomes Disabled for the attacker.,Tough - Excitement,Status,Ghost,,,,,,,,,,
Trick-or-Treat,,,--,Daily,2,"6, 1 Target",The target gains the Ghost Type in addition to its other Types for 5 turns.,Cute - Good Show!,Status,Ghost,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Absorb,,,2,At-Will,2,"4, 1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",Smart -  Good Show!,Special,Grass,,,o,,,,,,,
Apple Acid,,,8,EOT,2,Cone 2,The target’s Special Defense is lowered by 1 CS.,Smart -  Unsettling,Special,Grass,,,,,,,,,,
Aromatherapy,,,--,Scene ,--,"Burst 1, Healing",All allies in the burst are cured of one status condition of their choice.,Smart - Reflective Appeal,Status,Grass,,,,,,,,,,
Branch Poke,,,4,At-Will,2,"2, 1 Target",--,Tough - Steady Performance,Physical,Grass,,,o,,,,,,,
Bullet Seed,,,3,EOT,4,"6, 1 Target, Five Strike",--,Cool - Reliable,Physical,Grass,,,o,,,,,,,
Chloroblast,,,12,Daily,3,"Line 8, Smite, Spirit Surge",The user’s Hit Points are reduced by 50% of their full Hit Point value. This Hit Point loss cannot be prevented or reduced in any way.,Beauty - Big Show,Special,Grass,,,,,,,,,,
Cotton Guard,,,--,Scene,--,Self,Raise the user’s Defense 3 Combat Stages.,Cute - Get Ready!,Status,Grass,,,,,,,,,,
Cotton Spore,,,--,EOT,2,"Burst 1, Powder",All legal targets have their Speed lowered 2 Combat Stages.,Beauty - Saving Grace,Status,Grass,,,,,,,,,,
Drum Beating,,,8,EOT,2,"4, 1 Target",The target’s Speed is lowered by 1 CS.,Smart - Big Show,Physical,Grass,,,,,,,,,,
Energy Ball,,,9,EOT,2,"8, 1 Target",Energy Ball lowers the foe’s Special Defense 1 Combat Stage on 17+.,Beauty - Exhausting Act,Special,Grass,o,,,,,,,,,
Forest's Curse,,,--,Daily,2,"6, 1 Target",The target gains the Grass Type in addition to its other Types for 5 turns.,Smart - Good Show!,Status,Grass,,,,,,,,,,
Frenzy Plant,,,15,Daily x2,4,"3, 5 Targets, Smite, Exhaust",--,Cool - Seen Nothing Yet,Special,Grass,,,,,,,,,,o
Giga Drain,,,8,Scene x2,2,"6, 1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",Smart -  Good Show!,Special,Grass,,,,,,,,,,
Grass Knot,,,"X, See Effect",EOT,2,"5, 1 Target, Weight Class",Grass Knot's Damage Base is equal to twice the target's Weight Class.,Smart - Incentives,Special,Grass,,,,,,,,,,
Grass Pledge,,,8,Scene,2,"6, 1 Target, Pledge","If an ally uses Fire Pledge or Water Pledge, you may use Grass Pledge as Priority (Advanced) immediately after their turn to target the same foe. If used in conjunction with Fire Pledge, Fire Hazards are created in a Burst 1 around the target. If used in conjunction with Water Pledge, the target and all foes adjacent to the the target are slowed and have their Speed reduced by 2 Combat Stages. Consult the Pledge keyword for additional details.",Beauty - Safe Option,Special,Grass,,,,,,,,,,
Grass Whistle,,,--,Scene x2,6,"6, 1 Target, Sonic",The target falls Asleep.,Smart - Excitement,Status,Grass,,,,,,,,o,,
Grassy Glide,,,7,EOT,2,"Melee, Pass, Spirit Surge","If the user is on Grassy Terrain, Grassy Glide may be used with Priority. After Grassy Glide has been resolved, the user may choose to create Grassy Terrain in the spaces Passed over (including those it started and ended in), that lasts for 5 turns. Any creatures in those spaces are affected as if by the Field Move Grassy Terrain, rather than any other Field Move.",Smart - Unsettling,Physical,Grass,,o,,,,,,,,
Grassy Terrain,,,--,Daily x2,--,Field,"The area becomes Grassy for 5 rounds. While Grassy, all Pokémon and Trainers standing on the ground recover 1/10th of their maximum Hit Points at the start of every turn, and Grass-Type attacks performed by grounded Pokémon and Trainers gain a +10 bonus to Damage Rolls.",Beauty - Get Ready,Status,Grass,,,,,,,,,,
Grav Apple,,,8,EOT,2,"6, 1 Target",The target’s Defense is lowered by 1 CS.,Smart -  Excitement,Physical,Grass,,,,,,,,,,
Horn Leech,,,8,Scene x2,2,"Melee, 1 Target, Dash","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",Smart -  Good Show!,Physical,Grass,,o,,,,,,,,
Ingrain,,,--,Scene,--,"Self, Coat","Ingrain applies a Coat to the user, which has the following effect; the user cannot be pushed or pulled, and cannot be switched out. At the beginning of each of the user's turn, the user gains HP equal to 1/10th of its max HP.",Smart - Safe Option,Status,Grass,,,,,,,,,,
Jungle Healing,,,--,Daily x2,--,Burst 1,"The user and any allies in the burst regain Hit Points equal to 1/4 of their Maximum Hit Point Value, and are cured of any Persistent or Volatile Status Conditions. ",Smart - Reflective Appeal,Status,Grass,,,,,,,,,,
Leaf Blade,,,9,EOT,2,"Melee, Pass",Leaf Blade is a Critical Hit on 18+.,Cool - Exhausting Act,Physical,Grass,,o,,,,,,,,
Leaf Storm,,,13,Scene,4,"8, Ranged Blast 3, Smite",Lower the user’s Special Attack 2 Combat Stages after damage.,Cute - Seen Nothing Yet,Special,Grass,,,,,,,,,,o
Leaf Tornado,,,7,EOT,4,"6, Ranged Blast 3","Small or Medium targets in the central square of the blast are not hit. On 15+, all legal targets have their Accuracy lowered by -1.",Beauty -  Good Show!,Special,Grass,o,,,,,,,,,
Leafage,,,4,At-Will,2,"6, 1 Target",--,--,Physical,Grass,,,o,,,,,,,
Leech Seed,,,--,Daily x2,4,"6, 1 Target","At the beginning of each of the target's turns, Leech Seed's target loses 1/10th of their full HP. Leech Seed's user then gains HP equal to the amount the target lost. Leech Seed lasts until the target faints or is returned to a Poké Ball. Grass Types and targets immune to Grass Attacks are immune to Leech Seed",Smart - Safe Option,Status,Grass,,,,,,,,,,
Magical Leaf,,,6,EOT,--,"8, 1 Target",Magical Leaf cannot miss.,Beauty - Exhausting Act,Special,Grass,,,o,,,,,,,
Mega Drain,,,4,At-Will,2,"6, 1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",Smart -  Good Show!,Special,Grass,,,o,,,,,,,
Needle Arm,,,6,At-Will,2,"Melee, 1 Target",Needle Arm Flinches the target on 15+.,Smart - Steady Performance,Physical,Grass,o,o,o,,,,,,,
Petal Blizzard,,,9,EOT,2,Burst 1,--,Beauty - Big Show,Physical,Grass,,,,,,,,,,
Petal Dance,,,12,Scene x2,3,"Melee, All Adjacent Foes, Smite","After damage is dealt, the user becomes Enraged and Confused.",Beauty - Safe Option,Special,Grass,,o,,,,,,,,o
Power Whip,,,12,Scene x2,5,"8, 1 Target, Smite",*Grants: Threaded,Beauty - Steady Performance,Physical,Grass,,,,,,,,,,
Razor Leaf,,,6,At-Will,4,Cone 2,Razor Leaf is a Critical Hit on 18+.,Cool - Steady Performance,Physical,Grass,,,o,,,,,,,
Seed Bomb,,,8,At-Will,2,"8, 1 Target",--,Smart - Steady Performance,Physical,Grass,,,,,,,,,,
Seed Flare,,,12,Scene,5,"6, Ranged Blast 3",All Legal Targets have their Special Defense lowered 1 Combat Stage.,Cool - Seen Nothing Yet,Special,Grass,,,,,,,,,,
Sleep Powder,,,--,Scene x2,6,"4, 1 Target, Powder",The target falls Asleep.,Smart - Inversed Appeal,Status,Grass,,,,,,,,,,
Snap Trap,,,4,Scene x2,2,"Melee, 1 Target",The target is trapped in a Vortex. The DC to escape the Vortex is increased by 3.,Smart - Sabotage,Physical,Grass,,o,o,,,,,,,
Solar Beam,,,12,Scene x2,2,"Line 6, Set-Up","Set-Up Effect: If the weather is not Sunny, the user’s turn ends. If the weather is Sunny, immediately proceed to the Resolution Effect instead and this Move loses the Set-Up keyword. Resolution Effect: The user attacks with Solar Beam. If the weather is Rainy, Sandstorming, or Hailing, Solar Beam’s Damage Base is lowered to 6 (2d6+8 / 15).",Cool -  Special Attention,Special,Grass,,,,,,,,,,
Solar Blade,,,13,Scene x2,2,"Melee, 1 Target, Set-Up","Set-Up Effect: If the weather is not Sunny, the user’s gains +1 Attack CS and +1 Special Defense CS. If it is Sunny, immediately Resolve. Resolution Effect: Attack with Solar Blade. Half damage in Sandstorm, Hail, or Rain.",--,Physical,Grass,,o,,,,,,,,
Spiky Shield,,,--,Scene,--,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may use Spiky Shield. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move’s effects. In addition, if the triggering attack was Melee-ranged, the attacker loses Hit Points equal to 1/10th of their Max Hit Points.",Tough - Inversed Appeal,Status,Grass,,,,,,,,,,
Spore,,,--,Scene,--,"4, 1 Target, Powder",The target falls Asleep.,Beauty - Get Ready!,Status,Grass,,,,,,,,,,
Strength Sap,,,--,Daily x2,2,"Melee, 1 Target",The user gains Hit Points equal to the higher of the target's Attack or Special Attack; the target then loses -1 CS in that Stat.,--,Status,Grass,,,,,,,,,,
Stun Spore,,,--,Scene x2,6,"6, 1 Target, Powder",The target is Paralyzed.,Smart - Excitement,Status,Grass,,,,,,,,,,
Synthesis,,,--,Daily x2,--,"Self, Healing","The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value. If it is Rainy, Sand Storming, or Hailing, the user gains 1/4 of its full Hit Point value.",Smart - Reflective Appeal,Status,Grass,,,,,,,,,,
Trop Kick,,,7,EOT,2,"Melee, 1 Target",The target receives a -5 penalty to damage rolls for 1 round.,--,Physical,Grass,,o,,,,,,,,
Vine Whip,,,4,At-Will,2,"4, 1 Target",*Grants: Threaded,Cool - Steady Performance,Physical,Grass,,,o,,,,,,,
Wood Hammer,,,12,Scene x2,2,"Melee, 1 Target, Dash, Recoil 1/3",--,Tough - Desperation,Physical,Grass,,o,,o,,,,,,o
Worry Seed,,,--,Scene,2,"8, 1 Target",You choose one of the target’s Abilities. Worry Seed changes that Ability to Insomnia for the remainder of the encounter.,Beauty - Excitement,Status,Grass,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Bone Club,,,7,At-Will,5,"Melee, 1 Target",Bone Club Flinches the target on 18+.,Tough - Steady Performance,Physical,Ground,o,o,,,,,,,,
Bone Rush,,,3,EOT,4,"Melee, 1 Target, Five Strike",--,Tough - Reliable,Physical,Ground,,o,o,,,,,,,
Bonemerang,,,5,EOT,3,"6, 1 Target, Doublestrike",--,Tough - Reliable,Physical,Ground,,,o,,,,,,,
